formats,fonction,nom,statut,parent,wikidata_entity,secteur,licence,referent,composant,mots-clefs,cas-usage,utilisateurs,groupe,version
,Schémas,Draw.io Desktop,O,,,Espace utilisateur et canal,Apache-2.0,,Consultation et édition de documents,,,,MIMO,9.3
,Convertisseur de formats vidéo,Avidemux,O,,Q790931,Espace utilisateur et canal,GPL-2.0-only,,Consultation et édition de documents,,,,MIMO,2.7
SVG,Dessin (vectoriel),Inkscape,O,,Q8041,Espace utilisateur et canal,GPL-2.0-only,,Consultation et édition de documents,,,,MIMO,0.92
,Pour utiliser ses codes,KeeFox,O,Firefox,Q61694243,Espace utilisateur et canal,GPL V2.0,,Navigateur web,,Pour utiliser ses codes,,MIMO,2.5
,Création de DVD vidéo avec un menu de navigation.,DVD Styler,O,,Q4117800,Espace utilisateur et canal,GPL,,Consultation et édition de documents,,,,MIMO,3.0.4
s.o.,Serveur de services web permettant à une application externe d'interroger et de piloter GLPI.,WebService,O,GLPI,,Opérations,GPLv2+,,Déploiement gestion d’actif et de configuration,,,,MIMO,1.8
s.o.,"Inventaire, télédéploiement et découverte du réseau",FusionInventory,O,GLPI,,Opérations,AGPL-3.0-or-later,,Déploiement gestion d’actif et de configuration,,Gestion parc,,MIMO,9.1+1.1
s.o.,Affichage de GLPI pour terminaux mobiles et tablettes,Mobile,O,GLPI,,Opérations,GPL-2.0-only+,,Déploiement gestion d’actif et de configuration,,Gestion parc,,MIMO,1.1.6
s.o.,Notifications supplémentaires à celles incluses dans GLPI,Additional Alerts,O,GLPI,,Opérations,GPL-2.0-only+,,Déploiement gestion d’actif et de configuration,,Gestion des tickets,,MIMO,1.9.0
s.o.,Escalade de tickets,Escalation,O,GLPI,,Opérations,GPL-2.0-only+,,Déploiement gestion d’actif et de configuration,,Gestion des tickets,,MIMO,0.85+1.0
s.o.,Affichage graphique des délais de prise en compte des incidents + indicateurs sous forme de rapports,TimeLineTicket,O,GLPI,,Opérations,GPL-2.0-only+,,Service level management,,Gestion des tickets,,MIMO,0
,Effacement complet de tous les supports magnétiques d’une machine.,DBAN «Darik's Boot and Nuke»,O,,,Données et contenu,GPL-2.0-only / LGPL-2.0-only,,Gestion des accès aux données,,,,MIMO,2.3.0
,"Déploiement, mise à jour et suppression des logiciels et des configurations sur un parc Windows",WAPT,O,,Q50829216,Opérations,GPLv3,,Déploiement gestion d’actif et de configuration,,Gestion de parc,,MIMO,1.6 Community
,Plugin GLPI-Survey (questionnaire),GLPI,O,GLPI,,Opérations,AGPL-3.0-or-later,,Service level management,,Gestion de parc,,MIMO,9.3.1.0
,,K-9 Mail,O,,Q14565723,Espace utilisateur et canal,Apache-2.0,,Messagerie agenda contacts,,Client de Messagerie,,MIMO,5.600
,Outil de dev pour l’accessibilité,WebAccess,O,NVDA,,Conception et développement,GPL-2.0-only,,Qualité et sécurité de code source,,,,MIMO,2019.04.11
,Gestion de tâches,Wekan,O,,Q50558592,Espace utilisateur et canal,,,Outil de productivité,,,,MIMO,
,Rendez-vous,Framadate,O,,,Espace utilisateur et canal,,,Messagerie agenda contacts,,,,MIMO,
,Enquête,Limesurvey,O,,Q1514978,Orchestration et logique métier,,,Outil collaboratif,,,,MIMO,
,Partage de fichiers,NextCloud,O,,Q25874683,Orchestration et logique métier,,,Outil collaboratif,,,,MIMO,
,Wiki,MediaWiki,O,,Q83,Orchestration et logique métier,,,Outil collaboratif,,,,MIMO,
,Microblogue,Mastodon,O,,Q27986619,Orchestration et logique métier,,,Outil collaboratif,,,,MIMO,
,Informations géographiques,uMap,O,,,Orchestration et logique métier,,,Moteur SIG,,,,MIMO,
,Rédaction collaborative,LibreOffice en ligne,O,,,Orchestration et logique métier,,,Outil collaboratif,,,,MIMO,
,Gestion de contenu web,Drupal,O,,Q170855,Données et contenu,,,Gestion de contenu web,,,,MIMO,
,Blogue,Wordpress,O,,Q13166,Orchestration et logique métier,,,Outil collaboratif,,,,MIMO,
,Liste de diffusion/discussion,Sympa,O,,,Espace utilisateur et canal,,,Messagerie agenda contacts,,,,MIMO,
PDF,"Outil de fusion, extraction et découpage de fichiers PDF. Il permet aussi de changer le sens des pages.",PDFSam Basic,,,,Espace utilisateur et canal,AGPL-3.0,,Consultation et édition de documents,,,,MIMO,4.0 (3.3.7 pour 32b)
,Bloqueur des publicités et des pisteurs,Ublock Origin,,Firefox,,Espace utilisateur et canal,GPL-3.0,,Navigateur web,,,,MIMO,1.18
,Base de données transactionnelle,PostgreSQL,R,,,Données et contenu,,,Bd Relationnelles,,Base de production,,MIMPROD,10
,Base transactionnelle cluster,MariaDB,R,,Q787177,Données et contenu,,,Bd Relationnelles,,Base de production,,MIMPROD,10.3
,Base de données Géomatique,PostGIS,R,,,Données et contenu,,,Bd Relationnelles,,Information géographique,,MIMPROD,2.4
,Base de données NoSQL,MongoDB,R,,,Données et contenu,,,Gestionnaire de données non relationnelles,,Base de données Document,,MIMPROD,3.4
,Indexation et recherche plein texte,ElasticSearch,R,,,Données et contenu,,,Moteur de recherche,,En mode cluster,,MIMPROD,6.x
,Indexation et recherche plein texte,Apache Solr,R,,Q2858103,Données et contenu,,,Moteur de recherche,,Limité à 1 serveur,,MIMPROD,8.0.0
,Distribution GNU/LINUX,CentOS,R,,,Logiciel Système et Virtualisation,,,Système d'Exploitation,,En centre de production,,MIMPROD,7.6
,Distribution GNU/LINUX,Ubuntu – Eole,R,,,Logiciel Système et Virtualisation,,,Système d'Exploitation,,Services déconcentrés,,MIMPROD,2.7
,Distribution GNU/LINUX,Debian,R,,,Logiciel Système et Virtualisation,,,Système d'Exploitation,,En centre de production,,MIMPROD,9
,Hyperviseur,KVM,R,,,Logiciel Système et Virtualisation,,,Virtualisation serveur et jusqu'à plateforme,,Virtualisation serveurs,,MIMPROD,Distribution
,IaaS – 2,OpenStack,R,,,Logiciel Système et Virtualisation,,,Virtualisation serveur et jusqu'à plateforme,,Infonuage,,MIMPROD,0
,Virtualisation de serveurs,OpenNebula,R,,,Logiciel Système et Virtualisation,,,Virtualisation serveur et jusqu'à plateforme,,Infra virtuelle,,MIMPROD,5.6
,Haute Disponibilté,Pacemaker,R,,,Logiciel Système et Virtualisation,GPL-2.0,,Haute disponibilité (OS),,Infra virtuelle,,MIMPROD,Distribution
,Haute Disponibilté,Corosync,R,,,Logiciel Système et Virtualisation,BSD-3-Clause,,Haute disponibilité (OS),,Infra virtuelle,,MIMPROD,Distribution
,Supervision Infrastructure et composants,Shinken,R,,,Opérations,,,Supervision / Hypervision,,Infra virtuelle,,MIMPROD,2.4.3
,Supervision Infrastructure,Centreon,,,,Opérations,,,Supervision / Hypervision,,Infra virtuelle,,MIMPROD,2.8
,Partage de fichiers,Samba 4,R,,,Stockage,,,Partage de fichiers,,Infra virtuelle,,MIMPROD,4.9
,Antivirus : Orienté serveur,ClamAV,R,,,Sécurité,,,Antivirus,,Serveur Bureautique,,MIMPROD,Distribution
,Annuaire,OpenLdap,R,,,Sécurité,,,Authentification,,Serveur Bureautique,,MIMPROD,2.4
